,SubjectID,ProgFI,A,L,K
52,25.0,64.27,3.2779473629624922,44.133041387929495,5.005736232826416
53,25.0,68.53,3.541349762643139,47.259565008986826,3.3353741400328523
54,25.0,70.0,2.959213523720041,42.047052998765174,4.970423036616963
55,26.0,5.0,1.6548950682728714,3.347084349858693,2.7922505127416364
56,26.0,5.73,5.366198838457205,7.3052045405801795,3.3272462489246086
57,26.0,7.86,4.670074755436937,10.153819520610105,2.6717771056200834
58,26.0,11.18,2.2719459356852707,8.20607425240028,1.7599934329756017
59,26.0,15.36,1.8386447024660082,9.762602798573676,3.540361620466628
60,26.0,20.0,1.48411582468857,10.505721870039801,3.025514907702108
61,26.0,24.64,1.534270188773113,10.361643323326675,2.8107983434235275
62,26.0,28.82,1.5950471124484216,12.308414236684863,2.2164435223893464
63,26.0,32.14,2.1861574789262095,20.4475446674182,1.6978781774120577
64,26.0,34.27,1.8043573436874656,17.49989889980758,2.324369266181524
65,26.0,35.0,1.6921585829833161,16.674431566206515,2.0554898789625358
66,27.0,10.0,3.5468468283328956,6.641106467861825,13.035787177302469
67,27.0,11.47,4.0609667107455785,8.085518937418355,2.323857805749266
68,27.0,15.73,3.843929110773387,8.957331601173301,4.643791470588795
69,27.0,22.37,3.7409414811821615,17.879377228053162,1.6493030163117943
70,27.0,30.73,3.0283235260642924,18.241234572865654,3.1666858511599223
71,27.0,40.0,3.1690588721481663,26.840136359392385,2.741230424864018
72,27.0,49.27,2.987922316019228,32.21122924419905,4.925136464485458
73,27.0,57.63,3.326532072138384,35.47388105187221,6.001433386869391
74,27.0,64.27,3.0140222860861234,41.096267945469904,3.8409306550692257
75,27.0,68.53,3.320688104779177,47.05651851060768,3.923192318639455
76,27.0,70.0,2.657858652633118,41.13246606739,3.8952667603911784
77,28.0,5.0,3.0997161323273934,2.7245443030781606,2.759871284060713
78,28.0,5.73,2.79726762021448,2.205174297910532,20.520173864595257
79,28.0,7.86,3.2160701807164314,5.514041888988514,1.670250919439476
80,28.0,11.18,6.287778387794119,13.698662507563371,1.6264122242366648
81,28.0,15.36,3.3928129555062587,10.687639818266891,5.495395335644968
82,28.0,20.0,2.4799730704870036,12.001402890910878,3.6426145931239007
83,28.0,24.64,3.181865424624554,13.356773592138252,3.496729801497419
84,28.0,28.82,3.4718150789455438,15.854740809325435,4.2019184992584275
85,28.0,32.14,3.743322197724764,17.872389256539286,2.561311200763813
86,28.0,34.27,3.2196164670552694,16.422830740668886,4.4038097941809875
87,28.0,35.0,3.4259203316416236,19.245254258066613,2.7705998910560665
