,Breakpoint,SubjectID,Group,ProgFI
245,0.6217572663484917,183,Base60,33.55
246,0.5783249835448104,183,Base60,46.09
247,0.4335260916840151,183,Base60,60.0
248,0.4145529270062517,183,Base60,73.91
249,0.29594288780404027,183,Base60,86.45
250,0.2633676730106541,183,Base60,96.41
251,0.2710262054733527,183,Base60,102.8
252,0.22547326273067925,183,Base60,105.0
253,0.3320743454140436,184,Base60,15.0
254,0.41681820165338546,184,Base60,17.2
255,0.486975296573496,184,Base60,23.59
256,0.5220860613591085,184,Base60,33.55
257,0.44491627651904486,184,Base60,46.09
258,0.35922925905237596,184,Base60,60.0
259,0.32012408738571674,184,Base60,73.91
260,0.2525318994247559,184,Base60,86.45
261,0.24252096255192782,184,Base60,96.41
262,0.16587601472429342,184,Base60,102.8
263,0.20156222086761827,184,Base60,105.0
